"ABBREVIATION","MCD_URL","CHIP_URL","MCD_PHONE","CHIP_PHONE","CHIP_NAME","MCD_NAME","CHIP_DESC","MCD_DESC"
"AK","http://www.hss.state.ak.us/dpa/programs/medicaid/",,,"1-877-Kids-Now (1-877-543-7669)","Denali KidCare","Alaska Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"AL","http://www.medicaid.alabama.gov/apply/index_apply.aspx?tab=3","http://www.adph.org/allkids/","334-242-5000","1-877-Kids-Now (1-877-543-7669)","ALL Kids","Alabama Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"AR","https://www.medicaid.state.ar.us/InternetSolution/Consumer/Consumer.aspx","http://www.arkidsfirst.com/home.htm","1-800-482-8988
","1-877-Kids-Now (1-877-543-7669)","ARKids B","Arkansas Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"AZ","http://www.azahcccs.gov/applicants/default.aspx",,"1-800-523-0231","1-877-Kids-Now (1-877-543-7669)","KidsCare","Arizona Health Care Cost Containment System: Medicaid in Arizona","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"CA","http://www.dhcs.ca.gov/services/medi-cal/Pages/MCIndividual.aspx","http://www.healthyfamilies.ca.gov/About/","916-636-1980","1-877-Kids-Now (1-877-543-7669)","Healthy Families","Medi-Cal: Medicaid in California","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"CO","http://www.colorado.gov/hcpf","http://www.colorado.gov/hcpf","1-800-221-3943","1-877-Kids-Now (1-877-543-7669)","Child Health Plan Plus (CHP +)","Colorado Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"CT","http://www.huskyhealth.com/hh/cwp/view.asp?a=3573&q=421548&hhNav=|",,"1-800-842-1508","1-877-Kids-Now (1-877-543-7669)","Husky Plan","Medicaid for Low Income Adults (MLIA): Medicaid in Connecticut","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"DC","http://ssc.rrc.dc.gov/ssc/cwp/view,a,1218,q,455276.asp",,"202-727-5355","1-877-Kids-Now (1-877-543-7669)","DC Healthy Families","District of Columbia Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"DE","https://assist.dhss.delaware.gov/PGM/ASP/SC001.asp","http://www.dhss.delaware.gov/dss/dhcpqualify.html","1-800-372-2022","1-877-Kids-Now (1-877-543-7669)","Delaware Healthy Children Program (DHCP)","Delaware Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
"FL","http://www.dcf.state.fl.us/programs/access/medicaid.shtml","http://www.floridakidcare.org/","1-866-467-4970","1-877-Kids-Now (1-877-543-7669)","Florida KidCare Program","Florida Medicaid","CHIP provides children and adults with low-cost insurance. Incomes up to about $45,000 a year (for a family of four) may qualify.","Medicaid provides coverage for low income children, families, the elderly, and people with disabilities. Pregnant women may qualify with higher incomes."
